Text Date Genre Wordcount
cmaelr3-m23 c1400 RULE 17039
cmaelr4-m4 a1450 RELIG_TREATISE 11196
cmancriw-1-m1 c1230 RELIG_TREATISE 49225
cmancriw-2-m1 c1230 RELIG_TREATISE 15269
cmastro-m3 a1450_c1391 HANDBOOK_ASTRO 6867
cmayenbi-m2 1340 RELIG_TREATISE 45945
cmbenrul-m3 a1425 RULE 18312
cmboeth-m3 ?a1425_c1380 PHILOSOPHY 10682
cmbrut3-m3 c1400 HISTORY 50377
cmcapchr-m4 a1464 HISTORY 52850
cmcapser-m4 c1452 SERMON 1469
cmcloud-m3 a1425_?a1400 RELIG_TREATISE 15723
cmctmeli-m3 c1390 PHILOSOPHY/FICTION 17518
cmctpars-m3 c1390 RELIG_TREATISE 30626
cmearlps-m2 c1350 BIBLE 44454
cmedmund-m4 c1450_1438 BIOGRAPHY_LIFE_OF_SAINT 3872
cmedthor-m34 c1440_?1350 RELIG_TRREATISE 14046
cmedvern-m3 c1390 RELIG_TREATISE 12920
cmequato-m3 c1392 HANDBOOK_ASTRO 6307
cmfitzja-m4 ?1495 SERMON 5806
cmgaytry-m34 c1440 SERMON 5276
cmgregor-m4 c1475 HISTORY 37057
cmhali-m1 c1225_?c1200 RELIG_TREATISE 8869
cmhilton-m34 a1450_a1396 RELIG_TREATISE 4930
cmhorses-m3 a1450 HANDBOOK_MEDICINE 6313
cminnoce-m4 1497 SERMON 4269
cmjulia-m1 c1225_?c1200 BIOGRAPHY_LIFE_OF_SAINT 7180
cmjulnor-m34 c1450_c1400 RELIG_TREATISE 5083
cmkathe-m1 c1225_?c1200 BIOGRAPHY_LIFE_OF_SAINT 9032
cmkempe-m4 c1450 RELIG_TREATISE 64025
cmkentho-m1 a1150_c1125 HOMILY 4287
cmkentse-m2 c1275 HOMILY 3515
cmlamb1-m1 a1225 HOMILY 6462
cmlambx1-mx1 a1225 HOMILY 20653
cmmalory-m4 a1470 ROMANCE 60297
cmmandev-m3 ?a1425_c1400 TRAVELOGUE 51715
cmmarga-m1 c1225_?c1200 BIOGRAPHY_LIFE_OF_SAINT 8523
cmmirk-m34 a1500_a1415 SERMON 57944
cmntest-m3 c1388 BIBLE 11001
cmorm-m1 ?c1200 HOMILY_POETRY 73576
cmotest-m3 a1425_a1382 BIBLE 9910
cmpeterb-m1 c1150 HISTORY 7333
cmpolych-m3 a1387 HISTORY 46326
cmpurvey-m3 c1388 RELIG_TREATISE 39836
cmreynar-m4 1481 FICTION 8799
cmreynes-m4 1470-1500 HANDBOOK_OTHER 8913
cmrollep-m24 a1450_?1348 RELIG_TREATISE 17914
cmrolltr-m24 c1440_a1349 RELIG_TREATISE 17708
cmroyal-m34 c1450_c1425 SERMON 6349
cmsawles-m1 c1225_?c1200 HOMILY 4304
cmsiege-m4 c1500 ROMANCE 7757
cmthorn-mx4 c1440 HANDBOOK_MEDICINE 5720
cmtrinit-mx1 a1225 HOMILY 41571
cmvices1-m1 a1225_c1200 RELIG_TREATISE 28061
cmvices4-m34 c1450_c1400 RELIG_TREATISE 7184
cmwycser-m3 c1400 SERMON 56168
abott-e1-p1 c1530 LETTERS_PRIV 360
alhatton-e3-h 1699-1700 LETTERS_PRIV 769
alhatton2-e3-p1 1687 LETTERS_PRIV 899
ambass-e1-p2 1525 LETTERS_NON-PRIV 1412
anhatton-e3-h 1690-1695 LETTERS_PRIV 534
anhatton-e3-p1 1690-1695 LETTERS_PRIV 721
anhatton-e3-p2 1690-1695 LETTERS_PRIV 620
aplumpt-e1-h 1502-1504 LETTERS_PRIV 1834
aplumpt-e1-p1 1502-1504 LETTERS_PRIV 317
apoole-e1-p2 1552 LETTERS_PRIV 202
armin-e2-h 1608 FICTION 5185
armin-e2-p1 1608 FICTION 5328
armin-e2-p2 1608 FICTION 5158
asch-e1-h 1563-1568 EDUC_TREATISE 4913
asch-e1-p1 1563-1568 EDUC_TREATISE 5216
